Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_DMSO_20240315120525.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_Torin1_inj3.mzML
P02458	P02458	CO2A1_HUMAN	COL2A1	Collagen alpha-1(II) chain	897812	1.17688e+06	847845	1.095e+06	691456	296737	1.29932e+06	1.1945e+06	747209	1.21787e+06	498285		173654	479163	562089	492952	248866	134653
P02461	P02461	CO3A1_HUMAN	COL3A1	Collagen alpha-1(III) chain	2.88946e+06	3.02859e+06	2.01641e+06	3.53023e+06	520416	854046	3.13673e+06	3.66143e+06	3.66311e+06	3.47156e+06	905063	175335	1.85564e+06	1.40476e+06	1.66201e+06	1.07279e+06	1.02155e+06	812185
P02462	P02462	CO4A1_HUMAN	COL4A1	Collagen alpha-1(IV) chain	74751.7			984390	355080	357471			382037	734636	168230	98464.5		67252.3	536326		257771	210888
P02533	P02533	K1C14_HUMAN	KRT14	Keratin, type I cytoskeletal 14	215857	88479.8	2.44416e+06		2.58765e+06	693928	111837		73284.6	715802	1.23094e+06		828695	289579	3.48375e+06		132929	819930
P02533;P05783;P08779;P13645;Q04695	O76013;Q14525;P02533;P13646;O76014;P19012;Q04695;Q2M2I5;O76015;P08779;P08727;Q15323;Q7Z3Y7;Q92764;P05783;P13645;Q14532	K1C10_HUMAN;K1C14_HUMAN;K1C16_HUMAN;K1C17_HUMAN;K1C18_HUMAN	KRT10;KRT14;KRT16;KRT17;KRT18	Keratin, type I cytoskeletal 14		3.40627e+06		1.88076e+06	3.55667e+06	6.19689e+06	2.55646e+06	833773	976842		2.25887e+06		8.80355e+06		1.01772e+07	1.71719e+06	199183	
P02533;P08779	P02533;P08779	K1C14_HUMAN;K1C16_HUMAN	KRT14;KRT16	Keratin, type I cytoskeletal 14		41109.2	886046		4.1879e+06	894643				674723	1.88379e+06		568807	668763	1.79709e+06		288184	895974
P02533;P08779;P13645	P02533;Q7Z3Z0;Q7Z3Y9;P08779;Q7Z3Y7;Q7Z3Y8;P13645	K1C10_HUMAN;K1C14_HUMAN;K1C16_HUMAN	KRT10;KRT14;KRT16	Keratin, type I cytoskeletal 14	3.49891e+06	2.87015e+06	6.94246e+06	1.08385e+06	8.7178e+06	6.50272e+06	3.31111e+06	1.02508e+06	1.81342e+06	6.82479e+06	3.0344e+06	4.39746e+06	1.95214e+07	1.33904e+06	2.52468e+07	2.56412e+06	454740	7.43047e+06
P02533;P08779;P13645;P35527;Q04695	Q99456;P02533;P19012;P35527;Q04695;P08779;P08727;P13645	K1C10_HUMAN;K1C14_HUMAN;K1C16_HUMAN;K1C17_HUMAN;K1C9_HUMAN	KRT10;KRT14;KRT16;KRT17;KRT9	Keratin, type I cytoskeletal 14	409427	303716	690368	177682	791436	398178	362769	137782	65366.7	511789	360210	231126	557295	161907	1.06224e+06	131740	187684	278798
P02533;P08779;Q04695	P02533;P19012;Q04695;P08779;P08727	K1C14_HUMAN;K1C16_HUMAN;K1C17_HUMAN	KRT14;KRT16;KRT17	Keratin, type I cytoskeletal 14	427374	451304	2.81192e+06		2.44027e+06	1.66166e+06	443111			2.21486e+06	1.04406e+06	785547	2.63365e+06	2.23837e+06	4.50465e+06	165587		1.87206e+06
P02533;Q04695	P02533;Q04695	K1C14_HUMAN;K1C17_HUMAN	KRT14;KRT17	Keratin, type I cytoskeletal 14	41387.3	64899.4	714914		1.99118e+06	457714	73230.6			862460	568402		842706	737038	2.33543e+06			525307
P02538	P48668;P02538;O95678	K2C6A_HUMAN	KRT6A	Keratin, type II cytoskeletal 6A			328809		6.83088e+06	327361	44569.2			157034	1.97966e+06		167417	537175	824167			208712
P02538;P04259	P48668;P02538;P04259	K2C6A_HUMAN;K2C6B_HUMAN	KRT6A;KRT6B	Keratin, type II cytoskeletal 6A		52624.3	658198		5.49365e+06	479692		153022	174109	390353	1.58107e+06		479972	900625	878000			375584
