Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_DMSO_20240315120525.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_Torin1_inj3.mzML
O60313	O60313	OPA1_HUMAN	OPA1	Dynamin-like 120 kDa protein, mitochondrial						91048.3												
O60462	O60462	NRP2_HUMAN	NRP2	Neuropilin-2	560803	865527	1.0884e+06	1.87181e+06	1.47088e+06	649398	731372	709339	1.33595e+06	1.71061e+06	1.52056e+06	897065		251893	941581	639384	1.78229e+06	627007
O60488	O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4			38932.3			68583.8			59853		109196						90540.3	44250.9
O60493	O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	888721	298174	846081	790273		513156	1.26154e+06	706130	484867	621151	466368		1.04829e+06	958434	932298	982930	720980	866165
O60502	O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase					66023.5	741441						327593						
O60506	O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	1.14514e+06	848931	1.18218e+06	1.1585e+06	451579	1.39728e+06	1.05114e+06	1.26348e+06	1.17859e+06	1.1239e+06	593263	1.16915e+06	1.18455e+06	1.43908e+06	1.07085e+06	1.36881e+06	1.1061e+06	2.13271e+06
O60513	O60513	B4GT4_HUMAN	B4GALT4	Beta-1,4-galactosyltransferase 4			358627	319055	208572	65356.5	145608		388660	373033	657856	346274				35834.5	535030	129276
O60547	O60547	GMDS_HUMAN	GMDS	GDP-mannose 4,6 dehydratase	48144.4			30673.5			107977	137997	105751	29397.2				110368		58518.6		97071.5
O60551	O60551	NMT2_HUMAN	NMT2	Glycylpeptide N-tetradecanoyltransferase 2						86467.4						187124						
O60551;P30419	P30419;O60551	NMT1_HUMAN;NMT2_HUMAN	NMT1;NMT2	Glycylpeptide N-tetradecanoyltransferase 2	446739	417670		312749			294476	355368	159776	135213	236189		262563	400114	208105	213617	151411	
O60568	O60568	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	9.17847e+06	8.68158e+06	1.92994e+07	2.13821e+07	3.5637e+07	1.18049e+07	7.38044e+06	7.60366e+06	2.41576e+07	1.65815e+07	4.42334e+07	1.26484e+07	2.86637e+06	2.27954e+06	1.90254e+07	5.12607e+06	3.93892e+07	1.21534e+07
O60610	O60610	DIAP1_HUMAN	DIAPH1	Protein diaphanous homolog 1					111526	72077.3						925767						
O60716	O60716	CTND1_HUMAN	CTNND1	Catenin delta-1				74129.8	196444	116417						201104					29120.3	105412
O60739;P41567	P41567;O60739	EIF1B_HUMAN;EIF1_HUMAN	EIF1;EIF1B	Eukaryotic translation initiation factor 1b	67536.2	218678	305891	19910.1		135354		282741	245201	46614.2	94097.6	89311.6				372743	162775	160460
O60749	O60749	SNX2_HUMAN	SNX2	Sorting nexin-2	106971	86952.7	115875					118971	83498.8	118415				79828.1		121104	87081.5	
O60762	O60762	DPM1_HUMAN	DPM1	Dolichol-phosphate mannosyltransferase subunit 1					98918.7	590965												
O60763	O60763	USO1_HUMAN	USO1	General vesicular transport factor p115					100934	810356						707755						
O60814;P57053;P58876;P62807;Q5QNW6;Q6DN03;Q6DRA6;Q93079;Q99877;Q99879;Q99880	P58876;Q99880;Q16778;Q93079;Q99879;Q6DRA6;P06899;O60814;P33778;P57053;Q8N257;Q6DN03;Q99877;Q5QNW6;P23527;P62807	H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2C_HUMAN;H2B2D_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN	H2BC12;H2BC13;H2BC14;H2BC15;H2BC18;H2BC19P;H2BC20P;H2BC4;H2BC5;H2BC9;H2BS1	Histone H2B type 1-K	54628.2	122600	52478.7	125263	208302	111733	64887.6	140397	160771	389280	340166	1.40243e+06		41163.3	27615.7	96627.3	267035	114994
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880	P58876;Q99880;Q16778;Q93079;Q99879;Q96A08;P06899;O60814;P33778;P57053;Q8N257;Q99877;Q5QNW6;P23527;P62807	H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN	H2BC12;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9;H2BS1	Histone H2B type 1-K	4.10454e+06	4.90657e+06	7.03294e+06	8.36631e+06	1.53587e+07	2.81499e+07	6.93906e+06	5.73343e+06	5.94782e+06	1.38918e+07	1.05745e+07	2.27889e+07	2.3104e+06	2.1545e+06	5.93572e+06	2.5195e+06	1.21406e+07	2.90844e+07
O60841	O60841	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B						192603						151654						
O60869	O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1	418682	1.07928e+06	420456	763779	901243	80760.2	358386	1.07174e+06	1.06874e+06	1.13994e+06	335149		354180	863892	932504	1.1045e+06	240444	50950
O60884	O60884	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2					381356	345662					142463	78230.2		107655			47219.9	197196
O60888	O60888	CUTA_HUMAN	CUTA	Protein CutA	260621	228186					145952		186188		180268			109447		180955	147029	
O60911	O60911	CATL2_HUMAN	CTSV	Cathepsin L2	349675	554515	239190	201335	993479	60754.4		57892.1	474184	171188	650969					130069	573877	179975
O60911;P07711	P43235;Q5NE16;O60911;P07711	CATL1_HUMAN;CATL2_HUMAN	CTSL;CTSV	Cathepsin L2	591507	440114	1.73516e+06	1.56154e+06	2.38954e+06	970699	1.17131e+06	368579	1.45671e+06	1.4194e+06	2.92067e+06			115357	1.91192e+06	397511	2.68648e+06	1.56627e+06
O60936	O60936	NOL3_HUMAN	NOL3	Nucleolar protein 3						194526						226633				18080.2		164110
O75027	O75027	ABCB7_HUMAN	ABCB7	ATP-binding cassette sub-family B member 7, mitochondrial					230850	661981												
O75054	O75054	IGSF3_HUMAN	IGSF3	Immunoglobulin superfamily member 3			133551	239936	107331	72407.5			61206	151142	224730					66328.6	295059	202731
O75063	O75063	XYLK_HUMAN	FAM20B	Glycosaminoglycan xylosylkinase			142214	246849	197208	157839			106201	279635	189976	164852		47500.3	194931	47659	365475	110561
O75083	O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	2.47784e+06	2.02267e+06	2.08751e+06	2.12791e+06	1.67438e+06	3.63041e+06	2.71813e+06	2.30261e+06	2.36677e+06	2.18616e+06	1.42533e+06	2.82463e+06	1.99346e+06	2.75596e+06	2.18883e+06	2.93902e+06	1.89333e+06	3.42599e+06
O75106;Q16853	Q16853;O75106	AOC2_HUMAN;AOC3_HUMAN	AOC2;AOC3	Retina-specific copper amine oxidase	149691	243010	164569	130626			139884	126494		112943	30123.5			79404.7		28794.6	29376	
O75116	O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2						153372												
O75131	O75131	CPNE3_HUMAN	CPNE3	Copine-3	198319	163356	605679	265093	167664	360187	201452	195909	356746	419100	416433		23421.2	440712	429606	278134	772746	242312
O75147	O75147	OBSL1_HUMAN	OBSL1	Obscurin-like protein 1	281610	4.18177e+06				36708.6			5.12329e+06			5.71388e+06						
O75153	O75153	CLU_HUMAN	CLUH	Clustered mitochondria protein homolog	353240	261701	502968	218625	480278	249675	296790	317883	362588	299765	169789		99213.8	274501	347295	393865	224646	246145
O75223	O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase			178707		324407			133436	204019			359424				190479		72549.3
O75306	O75306	NDUS2_HUMAN	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial					196111	528570						1.574e+06						829916
O75326	O75326	SEM7A_HUMAN	SEMA7A	Semaphorin-7A		533520	125178	508127	293497	433903			289314	965618	344577		207234		899319	161244	249270	
O75347	O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A	1.04799e+06	838092	1.23194e+06	908705	444586	1.26405e+06	986144	946525	1.01995e+06	1.62829e+06	557162	1.28348e+06	1.36227e+06	1.07766e+06	1.3555e+06	1.55942e+06	979329	835174
O75348	O75348	VATG1_HUMAN	ATP6V1G1	V-type proton ATPase subunit G 1	295018	180578	164150	211453		207871	282857	227414	210522	385357	153290	122298	191784	330348	182745	472804	307466	119107
O75351	O75351;Q6PIW4;Q9UN37	VPS4B_HUMAN	VPS4B	Vacuolar protein sorting-associated protein 4B	229310	231148	99316.8	156117		86930.4	227090	229597	183076	220298	127420			120909		105101	155180	74842.8
O75367	O75367	H2AY_HUMAN	MACROH2A1	Core histone macro-H2A.1	64011	331064		354386		167544	134579	162889			66718.3	62418.9			441926		328003	235138
O75369	O75369	FLNB_HUMAN	FLNB	Filamin-B	1.78154e+06	1.57088e+06	1.90902e+06	2.09555e+06	1.35171e+06	2.08925e+06	1.02558e+06	1.45942e+06	2.01306e+06	1.61443e+06	705222	2.00281e+06	1.47059e+06	2.15538e+06	1.10429e+06	1.96875e+06	963458	2.12643e+06
O75369;P21333	P21333;O75369	FLNA_HUMAN;FLNB_HUMAN	FLNA;FLNB	Filamin-B	404018	302540	176458	162165	122441	581169	309751	202908	219697	191153	121676	235127	341431	289077		315999	318726	324362
O75369;P21333;Q14315	P21333;Q14315;O75369	FLNA_HUMAN;FLNB_HUMAN;FLNC_HUMAN	FLNA;FLNB;FLNC	Filamin-B	1.81267e+06	1.69484e+06	1.12687e+06	1.545e+06	933243	2.18787e+06	1.48479e+06	1.29193e+06	1.50441e+06	1.40961e+06	745111	2.83718e+06	541170	1.25163e+06	1.18535e+06	1.77595e+06	1.38714e+06	897095
O75390	O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial	1.77464e+06	2.2168e+06	816558	315046	617622	188960	1.07217e+06	1.84439e+06	660900				4.67232e+06	2.09063e+06	1.32776e+06	1.6124e+06	271969	243665
O75431	O75431	MTX2_HUMAN	MTX2	Metaxin-2					123037	1.02728e+06												
O75436	O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A	3.23556e+06	190142	670098			602815	3.03567e+06	322170	199087		262042			276658	409356	1.01813e+06	251236	441558
O75439	O75439	MPPB_HUMAN	PMPCB	Mitochondrial-processing peptidase subunit beta					415143	276887						209634				389575		719004
O75467;Q6AW86	O75467;Q6AW86	Z324A_HUMAN;Z324B_HUMAN	ZNF324;ZNF324B	Zinc finger protein 324A	501729	443225	727592	545928	482565	1.16504e+06	429301	535513	678920	588781	338571	862401		402113	675937	618832	610420	1.02545e+06
O75475	O75475	PSIP1_HUMAN	PSIP1	PC4 and SFRS1-interacting protein	32487.4	118798	216197	69081.2	331776	298405	177187	83664.9	111813		214012		140738	189116		129873	160753	286068
O75475;P51858	O75475;Q9Y3E1;P51858;Q7Z4V5	HDGF_HUMAN;PSIP1_HUMAN	HDGF;PSIP1	PC4 and SFRS1-interacting protein						505342			457932							88629.2		542125
O75493	O75493	CAH11_HUMAN	CA11	Carbonic anhydrase-related protein 11											392703						356159	
O75503	O75503	CLN5_HUMAN	CLN5	Ceroid-lipofuscinosis neuronal protein 5	564265	755486	3.41266e+06	1.69707e+06	5.81362e+06	1.55384e+06	487656	521646	2.80293e+06	1.63671e+06	4.83037e+06	1.3183e+06	463827	233594	2.81613e+06	460799	5.16861e+06	1.59901e+06
O75506	O75506	HSBP1_HUMAN	HSBP1	Heat shock factor-binding protein 1						218034												
O75531	O75531	BAF_HUMAN	BANF1	Barrier-to-autointegration factor			45902.4	74483		61203.2			18140.7			107606		75383.4		158329		200756
O75533	O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1			186441	1.17721e+06	1.21193e+06	200932		663520	159534	104872	109331	7873.86	191208	253746	200249	225077	122675	304363
O75534	O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1		101577	74635.2	114978		178681	131516	45019.8	83248.6	71617		282988		68634.9		116546	39641.2	345080
O75570	O75570	RF1M_HUMAN	MTRF1	Peptide chain release factor 1, mitochondrial	485901	181365	1.24056e+06	831696	4.51728e+06	1.96167e+06			1.28796e+06	662730	2.86321e+06	621998			446007		2.22804e+06	1.21761e+06
O75607	O75607	NPM3_HUMAN	NPM3	Nucleoplasmin-3	182757	143399		123392	46196.2	124570		189273	120529	57617.3	64216.3			49787.3		126769	109064	194698
O75608	O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1				44358.1		631467						121440		75131.8				
O75629	O75629	CREG1_HUMAN	CREG1	Protein CREG1		678028	544793	467188	683055	250930		680974	541443	481557	603009	942994					827997	86033.5
O75643	O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase			52602		651448	872743				59080.1		156035		81999.9	146065	76046.9	21082.9	159482
O75663	O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein				197686	96275	45113.1				177140				160071			24350.1	202288
O75691	O75691	UTP20_HUMAN	UTP20	Small subunit processome component 20 homolog						391748						170395						
O75694	O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155					88045.6													
O75718	O75718	CRTAP_HUMAN	CRTAP	Cartilage-associated protein	40408.5		506185		325279			46828.5	629821		143440					225032	138298	138431
O75787	O75787	RENR_HUMAN	ATP6AP2	Renin receptor	352098	716333	957613	784759	2.83577e+06	563585	377009	491617	1.28305e+06	1.03626e+06	3.05384e+06	537871			949056	244687	2.87611e+06	548294
O75818	O75818	RPP40_HUMAN	RPP40	Ribonuclease P protein subunit p40					76214.7	44744.2												
O75821	O75821	EIF3G_HUMAN	EIF3G	Eukaryotic translation initiation factor 3 subunit G	500039	647989	608021	328214	315193	1.05671e+06	464302	551634	646616	630422	312910	739477	530243	480830	522289	832580	459584	1.60752e+06
O75822	O75822	EIF3J_HUMAN	EIF3J	Eukaryotic translation initiation factor 3 subunit J	458358	736730	560875	750562	524562	920635	583700	656768	784086	966695	751336	958619	599131	733945	555588	854554	654296	568927
O75828	O75828	CBR3_HUMAN	CBR3	Carbonyl reductase [NADPH] 3	1.36237e+06	1.565e+06	775888	1.3191e+06	278087	846773	1.15146e+06	1.52893e+06	1.18088e+06	1.46571e+06	616306			1.40603e+06		1.39602e+06	670487	1.2173e+06
O75828;P16152	O75828;P16152	CBR1_HUMAN;CBR3_HUMAN	CBR1;CBR3	Carbonyl reductase [NADPH] 3	1.38287e+06	790334	742957	775332		1.39061e+06	1.5712e+06	1.32287e+06	1.06275e+06	1.42184e+06	827632	2.22865e+06	1.6737e+06	1.21164e+06	812209	1.30376e+06	1.26039e+06	1.5704e+06
O75844	O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog					90282.9													
O75874	O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	2.89092e+06	3.35823e+06	3.05494e+06	3.35047e+06	2.1618e+06	4.11751e+06	2.84158e+06	4.16366e+06	3.28398e+06	3.60323e+06	1.77977e+06	4.69879e+06	2.24293e+06	3.22882e+06	2.64318e+06	3.80315e+06	2.44556e+06	3.45673e+06
O75882	O75882	ATRN_HUMAN	ATRN	Attractin		135205	63722.7		108464				86804.6	147767	140182						141767	
O75937	O75937	DNJC8_HUMAN	DNAJC8	DnaJ homolog subfamily C member 8		204191	185195	105796	69856.9	316178	132638	172697	199997		106140			142414		125119	241395	365684
O75962	O75962	TRIO_HUMAN	TRIO	Triple functional domain protein						990591												
O76003	O76003	GLRX3_HUMAN	GLRX3	Glutaredoxin-3	253988	542698		305886	379520	366695	500600	634609	630060	544590	257751	386198		482854		597253	384550	346903
O76021	O76021	RL1D1_HUMAN	RSL1D1	Ribosomal L1 domain-containing protein 1		99906.4	45019.7		656039	111077							58757.5				38488.7	67465.5
O76094	O76094	SRP72_HUMAN	SRP72	Signal recognition particle subunit SRP72					572246	642937					182819							
O94766	O94766	B3GA3_HUMAN	B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3		99221.4	214111	134458	539864	72459.2			166928	249757	596982	187956			340622	23340.9	514932	122505
O94769	O94769	ECM2_HUMAN	ECM2	Extracellular matrix protein 2	6.58879e+06	7.72084e+06	5.49454e+06	7.89112e+06	1.15326e+06	1.06832e+06	4.15337e+06	7.06806e+06	5.45303e+06	6.41536e+06	1.93059e+06	1.18854e+06		3.38135e+06		2.18958e+06	2.12612e+06	660969
O94826	O94826	TOM70_HUMAN	TOMM70	Mitochondrial import receptor subunit TOM70					41252	159796												77746.9
O94874	O94874	UFL1_HUMAN	UFL1	E3 UFM1-protein ligase 1					47527.1	485918						499682						110479
O94903	O94903	PLPHP_HUMAN	PLPBP	Pyridoxal phosphate homeostasis protein	203429					475288		447768		122915	37659.9					210917	181204	341390
O94915	O94915	FRYL_HUMAN	FRYL	Protein furry homolog-like						353309												
O94925	O94925	GLSK_HUMAN	GLS	Glutaminase kidney isoform, mitochondrial						616274												
O94966	O94966	UBP19_HUMAN	USP19	Ubiquitin carboxyl-terminal hydrolase 19	108556	901366	411367	2.54848e+06	2.14587e+06		121712	641854	679393	3.67478e+06				95495.3		755529		
O94973	O94973	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2						1.03417e+06	153692					251556					668950	
O94973;O95782	O95782;O94973	AP2A1_HUMAN;AP2A2_HUMAN	AP2A1;AP2A2	AP-2 complex subunit alpha-2		234327	232349	317644		283815	203989	246426	299647	367180	110329	273344		297185		417674		179310
O94979	O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A		181151	243652		335593	275450	284550			241425		843020		148163		155802	68878.2	335488
O94985	O94985	CSTN1_HUMAN	CLSTN1	Calsyntenin-1	953561	1.35778e+06	3.14969e+06	3.54658e+06	4.40027e+06	1.70327e+06	1.13773e+06	1.11555e+06	3.66746e+06	3.16927e+06	4.17716e+06	2.22427e+06	275056	233105	3.08709e+06	829467	5.02731e+06	1.45813e+06
O94992	O94992	HEXI1_HUMAN	HEXIM1	Protein HEXIM1	91976.3	104953		109933	82000.3	52991.3	56037.2	92520.7	103948	167904	67009.5			111187	101918	160523	199663	42621.8
O95084	O95084	PRS23_HUMAN	PRSS23	Serine protease 23			205430	338898	690966	140304	103457		353542	217831	649787					147795	675473	65103.5
O95202	O95202	LETM1_HUMAN	LETM1	Mitochondrial proton/calcium exchanger protein						101608						131680						
O95218	O95218	ZRAB2_HUMAN	ZRANB2	Zinc finger Ran-binding domain-containing protein 2		141021	71149.1			165305		127121	222144	134600	35591.8			215059		211853	82015.3	
O95372	O95372	LYPA2_HUMAN	LYPLA2	Acyl-protein thioesterase 2						421492												
O95373	O95373	IPO7_HUMAN	IPO7	Importin-7	924724	880040	715171	563269	489254	1.3125e+06	970693	882832	747449	632296	408793	977256	440288	725798	654007	845711	543903	827257
O95390	O95390	GDF11_HUMAN	GDF11	Growth/differentiation factor 11			79785.5		253975				111844		414412						403298	
O95399	O95399	UTS2_HUMAN	UTS2	Urotensin-2	680854	1.40392e+06	941837	943139	1.42731e+06	413908	839199	829366	989155	1.15908e+06	1.39881e+06	756715		360627	1.08752e+06	887477	2.74977e+06	471143
O95433	O95433	AHSA1_HUMAN	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1	842292	769025	520035	918477	535646	1.16342e+06	642544	1.09268e+06	1.40138e+06	1.20033e+06	258565	1.73531e+06	897373	876099	449050	1.05879e+06	869987	1.48273e+06
O95445	O95445	APOM_HUMAN	APOM	Apolipoprotein M	6.50525e+06	4.71884e+06	2.44102e+06	3.58051e+06	479403	569444	4.83244e+06	3.29849e+06	2.66688e+06	3.43131e+06	538511	486151	1.04736e+06	2.36705e+06	1.73906e+06	1.31657e+06	526759	341475
O95477	O95477	ABCA1_HUMAN	ABCA1	Phospholipid-transporting ATPase ABCA1	1.02338e+06	1.72697e+06	701709	1.3796e+06		323172	1.13953e+06	1.20151e+06	1.00549e+06	1.17683e+06	158884		445466	614724	819315	617827	467407	
O95497	O95497	VNN1_HUMAN	VNN1	Pantetheinase	251160	450663	121441	629862			339375	432303	142184	675243		96563.1		602987		137587		
O95747	O95747	OXSR1_HUMAN	OXSR1	Serine/threonine-protein kinase OSR1	145424	131738		119545	164310	635244		184706	203177	61028.5	48954.9			160049		191713		
O95757	O95757	HS74L_HUMAN	HSPA4L	Heat shock 70 kDa protein 4L	598309	39575.5	258962			93041.7	1.70144e+06	71565.7	269913	62654	249469	215283		215401		84581.7	377657	202127
O95757;P34932;Q92598	O95757;Q92598;P34932	HS105_HUMAN;HS74L_HUMAN;HSP74_HUMAN	HSPA4;HSPA4L;HSPH1	Heat shock 70 kDa protein 4L	463630	189800	210375	229730	32413.9	74174	269490	149069	313519	270513	139510	210931	256337	433594	312827	329038	243513	25237.5
O95757;Q92598	O95757;Q92598	HS105_HUMAN;HS74L_HUMAN	HSPA4L;HSPH1	Heat shock 70 kDa protein 4L			351970			338735												328601
O95782	O95782	AP2A1_HUMAN	AP2A1	AP-2 complex subunit alpha-1			35139.6		102693	194128	134002		68043.1			991709					72654.8	253492
O95816	O95816	BAG2_HUMAN	BAG2	BAG family molecular chaperone regulator 2	197417	152491	308010	188635	355089	246171	203573	287451	245225	244666	289843		272972	272742	197532	355187	265133	337976
O95831	O95831	AIFM1_HUMAN	AIFM1	Apoptosis-inducing factor 1, mitochondrial		413517	393094			92760.6			62544	62339.3				39197.4	270983	88806.2	80699.2	139977
O95837;P29992	P29992;O95837	GNA11_HUMAN;GNA14_HUMAN	GNA11;GNA14	Guanine nucleotide-binding protein subunit alpha-14					28206.5	130368			9247.56									84364.9
O95837;P29992;P50148	P29992;O95837;P50148	GNA11_HUMAN;GNA14_HUMAN;GNAQ_HUMAN	GNA11;GNA14;GNAQ	Guanine nucleotide-binding protein subunit alpha-14			495375	228705	190806	358675			369145		383998	383998				151818	195951	314064
O95837;P29992;P50148;Q14344	Q14344;P29992;O95837;P50148;P19086;Q03113	GNA11_HUMAN;GNA13_HUMAN;GNA14_HUMAN;GNAQ_HUMAN	GNA11;GNA13;GNA14;GNAQ	Guanine nucleotide-binding protein subunit alpha-14	179179		167521	487434	260322	408924	286698	179823	43453.7	353596	381073			75758.7		147754	406710	503464
O95861	O95861	BPNT1_HUMAN	BPNT1	3'(2'),5'-bisphosphate nucleotidase 1	369847	185714	591008	281306	249545	502557		213119	342235	436832	142430			299641		354034	152441	527784
O95881	O95881	TXD12_HUMAN	TXNDC12	Thioredoxin domain-containing protein 12	37720.4	82645.9	442937						36820.7			404412		291167		418604		
O95983	O95983	MBD3_HUMAN	MBD3	Methyl-CpG-binding domain protein 3						483987												
O95985	O95985	TOP3B_HUMAN	TOP3B	DNA topoisomerase 3-beta-1	2.20046e+07	1.66935e+07		1.7278e+07	1.4948e+06	1.95303e+06	1.98953e+07		8.68123e+06	1.57112e+07	2.81215e+06	3.34026e+06	1.07043e+07	9.90684e+06	1.11655e+07	6.84305e+06	2.05042e+06	2.01775e+06
O95989	O95989	NUDT3_HUMAN	NUDT3	Diphosphoinositol polyphosphate phosphohydrolase 1	816777	276323	316977			552675	701013	386038						408366	533150	407069	803888	610361
O95996	O95996	APCL_HUMAN	APC2	Adenomatous polyposis coli protein 2		60079.1			1.60776e+06	799747		151991		233125					245495	65772.4	279275	380373
O96008	O96008	TOM40_HUMAN	TOMM40	Mitochondrial import receptor subunit TOM40 homolog					326074													137889
P00338	P00338	LDHA_HUMAN	LDHA	L-lactate dehydrogenase A chain	1.36392e+07	1.27322e+07	1.41537e+07	1.35156e+07	1.38775e+07	1.80009e+07	1.2312e+07	1.27609e+07	1.48191e+07	1.48524e+07	8.32155e+06	2.58632e+07	1.28976e+07	1.5442e+07	1.3093e+07	1.71129e+07	1.33915e+07	1.86953e+07
P00338;P07195	P07864;P07195;Q6ZMR3;P00338	LDHA_HUMAN;LDHB_HUMAN	LDHA;LDHB	L-lactate dehydrogenase A chain	6.47179e+06	6.38005e+06	7.68403e+06	4.73283e+06	4.11379e+06	7.24207e+06	6.99533e+06	5.89727e+06	6.89132e+06	6.67615e+06	3.31066e+06	7.309e+06	4.72755e+06	6.48004e+06	6.24982e+06	5.69716e+06	5.44405e+06	7.88095e+06
P00367	P00367	DHE3_HUMAN	GLUD1	Glutamate dehydrogenase 1, mitochondrial	235756	316993	325895	195540		123304		239468		182430		264745		366045		350614	145559	122606
P00387	P00387	NB5R3_HUMAN	CYB5R3	NADH-cytochrome b5 reductase 3					179649													
P00390	P00390	GSHR_HUMAN	GSR	Glutathione reductase, mitochondrial	469351	366994	548382	454841	369697	654004	463416	412933	358683	407258	424759	467930	486481	434255	822748	448853	651284	677634
