,Gene,Fold Change,Neg Log P-Value,p-values,Distance
220,ATP6V1E1,0.5048972447049387,0.5529238673107699,0.27994720296544984,0.7487630003896671
221,ATP6V1F,0.954475120743087,1.0964516460737215,0.08008447888249348,1.4536949364620158
222,ATP6V1G1,-0.7027266479439795,1.3794753795037884,0.04173732590134027,1.5481527910344324
223,ATP6V1H,-0.6217150548428698,2.136296291871378,0.007306404432833048,2.224925045047961
224,ATPAF2,0.44959148217572675,0.4443489596006689,0.3594603893652465,0.6321222182008506
225,ATRN,0.47342923564009354,0.9255924944588175,0.1186881896335367,1.0396425861599068
226,ATXN10,-1.4181502483344275,0.901461146279565,0.12546969830447013,1.6804113559193372
227,ATXN2L,0.7426039293010263,0.9635265286888051,0.10876106993771464,1.2164883753248208
228,AURKAIP1,1.393189168378445,0.9435454973436843,0.11388184712888787,1.682633104525334
229,AXL,-2.271575349470176,2.3282716757102597,0.004696002552397057,3.252830085361855
230,AZGP1,2.37382788622061,1.7152848089364703,0.01926261262893046,2.92869609368518
231,B2M,0.11176564890994811,0.3346326070166705,0.4627723397872397,0.35280382928057236
232,B3GAT3,-0.04608971414577212,0.6246140174469559,0.23734822190775737,0.6263121686038561
233,B4GALT1,0.14260444359460678,0.3296081809074949,0.4681573208515312,0.35913448769795875
234,B4GALT4,0.39101643823401133,0.33805122136510135,0.45914385750433023,0.516887302258093
235,B4GALT5,-0.3882288816261692,1.5450192100957714,0.028508921615435903,1.5930492848916091
236,B4GAT1,0.47168980558117823,1.2223292597004325,0.05993365178971013,1.3101832283345016
237,BABAM1,-0.1558572456823626,0.6661894198285763,0.2156803502755099,0.6841782107925006
238,BAG2,-0.18537304907157548,0.3494762808717114,0.4472225763219565,0.3955968126944605
239,BAG6,0.34486183997210773,0.3221148046900139,0.47630506007775936,0.4718979085241144
240,BANF1,0.5271068681792404,0.9538829158784988,0.11120314862833278,1.0898322199708514
241,BASP1,0.8444477175776335,1.022547060643062,0.09494081146868998,1.3261577730239493
242,BAX,-0.21628195775994286,0.6659896003846797,0.21577960791172243,0.7002285577388422
243,BCAP31,0.4781227596513382,0.45113054492770077,0.353890948728974,0.6573584576647474
244,BCAT1,-0.3316154238198159,0.8526329688189845,0.14039997523239978,0.9148506811672994
245,BCHE,-0.2631588027692615,0.6033064948776399,0.24928348363456876,0.6582030706677802
246,BCLAF1,0.16046180348924466,0.4445250588363922,0.35931466366409726,0.472599744300099
247,BCS1L,0.6165479970458172,1.0683589596772796,0.08543602621399426,1.2335000200178061
248,BDH2,-0.14958259562403242,0.483905996230102,0.3281663175766731,0.5064977454057128
249,BGN,-0.49745204526330156,1.9587223527050401,0.010997086656706801,2.0209037068408304
250,BHMT,0.6371727843457862,0.8945849174495597,0.12747208298525017,1.0983038430412584
251,BID,0.04046106003129424,0.03150052472876805,0.9300353910541663,0.051277484698878543
252,BIN1,-0.07664305530948212,0.2576428176937724,0.5525316780821012,0.26880100341397306
253,BLMH,-0.6385861216361874,2.3161732923753124,0.004828660901545246,2.402592548697977
254,BLVRA,-0.3248570626332814,1.3583374033670161,0.04381901356005145,1.3966433376236653
255,BLVRB,-1.0447910226766766,0.8924828032722867,0.12809058134685142,1.374086545746859
256,BMP1,-0.1429632092387756,0.1751466527920905,0.6681182689390794,0.22608588894515957
257,BMP1;TLL2,-0.3631024226924673,1.3877882929716003,0.04094602120690889,1.4345032992203843
258,BOLA2,0.2281371739067808,0.32903090779079225,0.46878001890685994,0.4003847005066572
259,BPNT1,-0.7507930918245194,1.784858177590312,0.01641125608673653,1.9363390666002769
260,BRD9,0.6969652415633121,0.9687969703158585,0.10744916123853002,1.1934521848991657
261,BRIP1,0.7325561984760967,1.228124111652334,0.059139260324121166,1.4300095865229665
262,BROX,-0.23977434723131807,0.3146233229394268,0.48459248744551714,0.3955749902706837
263,BSG,-0.13986682668950934,1.8491217228555292,0.014153970207983542,1.8544039136996002
264,BTD,0.16439219205582134,0.1732418540381677,0.6710550453401908,0.23882531858975892
265,BTF3,0.4343165779439815,0.5758412101736844,0.26555763351339473,0.7212655469459662
266,BTF3L4,0.29228253032272633,0.6138067869591025,0.24332863117555342,0.6798439889040077
267,BUB3,-0.2122690199062056,0.4048571448090226,0.3936795496283799,0.4571295708164754
268,BUD31,0.35516024757527376,0.38151248618119465,0.41542010753657355,0.5212394637495189
