Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_24hr_DMSO_20240304160237.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_24hr_Torin1.mzML
P14625	P14625	ENPL_HUMAN	HSP90B1	Endoplasmin	2.61897e+06	2.40453e+06	3.67113e+06	1.97182e+06	2.71293e+06	3.96217e+06	1.91901e+06	1.60437e+06	2.50561e+06	3.29785e+06	2.60544e+06	2.8717e+06	2.03981e+06	3.13862e+06	2.26302e+06	2.48159e+06	2.62705e+06	3.37188e+06
P14678;P63162	P63162;P14678	RSMB_HUMAN;RSMN_HUMAN	SNRPB;SNRPN	Small nuclear ribonucleoprotein-associated proteins B and B'	532035	424488	682797	742460	340285	396987		381255	646828	453514	423367	377690		110767	646032	350732	357019	504946
P14735	P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	504571	592364	507613	412678	678157	391738	968822	624104	562251	629598	680506	558742		913912	725625	573278	389403	526642
P14866	P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	1.28664e+06	1.21675e+06	1.03661e+06	1.18469e+06	614724	716784	1.44808e+06	1.45873e+06	1.42895e+06	988865	771607	881264	522999	839907	1.20615e+06	1.28699e+06	660909	813235
P14868	P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	1.0276e+06	1.00552e+06	976498	1.12084e+06	1.01918e+06	887240	552320	1.04471e+06	1.36451e+06	960071	1.1272e+06	977855		477735	1.3749e+06	1.00261e+06	1.03757e+06	1.01467e+06
P14923	P14923	PLAK_HUMAN	JUP	Junction plakoglobin	6.52879e+06	3.31488e+06	598867	4.81027e+06	484979	290866	2.62916e+06	1.29699e+06	802543	825779	176026	771088		6.24343e+06	300211	684250	150906	1.10906e+06
P15085;P15086	P15086;P15085	CBPA1_HUMAN;CBPB1_HUMAN	CPA1;CPB1	Carboxypeptidase A1	1.97235e+06	2.23529e+06	3.8494e+06	1.3323e+06	470490	1.95538e+06		2.24452e+06	1.36814e+06	3.62593e+06	296207	387062		6.22729e+06	1.16221e+06	2.35865e+06	265797	970024
P15121	P15121	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1	1.03308e+06	1.40336e+06	1.20718e+06	1.33998e+06	2.04555e+06	1.59226e+06	1.06522e+06	1.23347e+06	1.4741e+06	1.04642e+06	1.57381e+06	1.42773e+06	367442	821935	1.07106e+06	1.14653e+06	1.38475e+06	1.66729e+06
P15144	P15144	AMPN_HUMAN	ANPEP	Aminopeptidase N	341361	411214	836543	840641	1.81821e+06	1.04498e+06		252971	905458	796258	1.74459e+06	1.5663e+06		1.05561e+06	698163	877100	1.77339e+06	1.34633e+06
P15153	P15153	RAC2_HUMAN	RAC2	Ras-related C3 botulinum toxin substrate 2	178915	105252		303013	492265	280291			150427	173733	615125	459486			89703.7	147078	596881	342597
P15170	P15170	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	1.00974e+06	1.2625e+06	847677	1.28164e+06	1.32008e+06	1.16434e+06	498835	787801	1.59732e+06	1.17637e+06	1.40898e+06	1.3707e+06	873000		1.67425e+06	1.21806e+06	1.36631e+06	1.52812e+06
P15291	P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1	1.47705e+06	1.36824e+06	2.55141e+06	2.8185e+06	2.64225e+06	3.47674e+06		2.10807e+06	2.26325e+06	1.40195e+06	2.50222e+06	2.64385e+06		2.87227e+06	1.93306e+06	2.52197e+06	2.3901e+06	2.31255e+06
P15311	P15311	EZRI_HUMAN	EZR	Ezrin	2.24037e+06	2.53812e+06	2.9131e+06	2.89334e+06	3.07363e+06	3.29077e+06	2.51873e+06	2.36733e+06	3.13083e+06	2.28011e+06	3.07674e+06	3.48301e+06	1.7372e+06	2.62404e+06	3.02829e+06	3.39968e+06	3.01555e+06	3.6968e+06
P15311;P26038;P35241	P35241;P26038;P15311	EZRI_HUMAN;MOES_HUMAN;RADI_HUMAN	EZR;MSN;RDX	Ezrin	4.99047e+07	5.19274e+07	5.61903e+07	5.45545e+07	5.95099e+07	6.54739e+07	2.77426e+07	4.10762e+07	5.43103e+07	5.0198e+07	4.37648e+07	4.88992e+07	1.95986e+07	3.72958e+07	4.26245e+07	4.64183e+07	4.73982e+07	6.42619e+07
P15311;P35241	P35241;P15311	EZRI_HUMAN;RADI_HUMAN	EZR;RDX	Ezrin	411526	934783	962340		883568	1.09563e+06		633501	822232	395332	1.0183e+06	1.40008e+06		433329	892162	1.22261e+06	1.21817e+06	1.31644e+06
